Shape,Result,Number,Time
<http://example.org/lungCancer/shapes/Protocol2>,valid,520,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,275,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,469,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,617,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,512,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,361,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,364,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,57,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,239,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,187,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,violated,19,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,318,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,597,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,432,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,475,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,401,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,303,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,496,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,329,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,587,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,566,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,343,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,453,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,424,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,192,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,627,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,238,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,99,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol2>,valid,611,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,valid,319,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,388,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,399,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,58,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,96,2.7880051136016846
<http://example.org/lungCancer/shapes/Protocol1>,valid,253,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol1>,valid,287,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,336,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol1>,valid,291,2.7890052795410156
<http://example.org/lungCancer/shapes/Protocol2>,valid,565,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,320,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,620,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,346,5.099670648574829
<http://example.org/lungCancer/shapes/Protocol2>,valid,439,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol2>,valid,492,5.100670576095581
<http://example.org/lungCancer/shapes/Protocol1>,violated,17,2.7880051136016846
