Body,Head,Head_Coverage,Standard_Confidence,Pca_Confidence,Support,Body Size,Pca Body Size,Functional_variable
?b  equal  ?a   ,?a  equal  ?b,0.804487,0.804487,0.8,7818,9718,7818,?a
?b  sameAs  ?a   ,?a  sameAs  ?b,0.796573,0.796573,0.8,7624,9571,7624,?a
?b  equivalent  ?a   ,?a  equivalent  ?b,0.796873,0.796873,0.8,7748,9723,7748,?a
?b  hasPredecessor  ?f  ?f  hasSuccessor  ?a   ,?a  hasSibling  ?b,0.463034,1,1,3645,3645,3645,?a
?f  hasPredecessor  ?a  ?b  hasSibling  ?f   ,?a  hasSuccessor  ?b,0.3,1,1,3645,3645,3645,?a
?f  hasSibling  ?a  ?b  hasSuccessor  ?f   ,?a  hasPredecessor  ?b,1,0.463034,0.46,3645,7872,3645,?a
